iShares U.S. Technology ETF
Fund Holdings as of,"Jul 23, 2024"
Inception Date,"May 15, 2000"
Shares Outstanding,"127,100,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"TER","TERADYNE INC","Information Technology","Equity","40,256,076.71","0.21","40,256,076.71","264,373.00","152.27","United States","NASDAQ","USD","1.00","USD","-"
"TYL","TYLER TECHNOLOGIES INC","Information Technology","Equity","38,551,338.80","0.20","38,551,338.80","73,240.00","526.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"APP","APPLOVIN CORP CLASS A","Information Technology","Equity","37,973,808.14","0.20","37,973,808.14","453,094.00","83.81","United States","NASDAQ","USD","1.00","USD","-"
"PTC","PTC INC","Information Technology","Equity","36,351,831.76","0.19","36,351,831.76","204,488.00","177.77","United States","NASDAQ","USD","1.00","USD","-"
"LDOS","LEIDOS HOLDINGS INC","Industrials","Equity","36,080,412.98","0.19","36,080,412.98","232,867.00","154.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GDDY","GODADDY INC CLASS A","Information Technology","Equity","36,065,887.11","0.19","36,065,887.11","244,233.00","147.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ENTG","ENTEGRIS INC","Information Technology","Equity","34,177,008.60","0.18","34,177,008.60","260,099.00","131.40","United States","NASDAQ","USD","1.00","USD","-"
"SWKS","SKYWORKS SOLUTIONS INC","Information Technology","Equity","32,600,257.50","0.17","32,600,257.50","277,449.00","117.50","United States","NASDAQ","USD","1.00","USD","-"
"PSTG","PURE STORAGE INC CLASS A","Information Technology","Equity","30,674,503.60","0.16","30,674,503.60","500,890.00","61.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ZS","ZSCALER INC","Information Technology","Equity","30,215,427.66","0.16","30,215,427.66","158,138.00","191.07","United States","NASDAQ","USD","1.00","USD","-"
"MDB","MONGODB INC CLASS A","Information Technology","Equity","30,182,187.54","0.16","30,182,187.54","117,651.00","256.54","United States","NASDAQ","USD","1.00","USD","-"
"VRSN","VERISIGN INC","Information Technology","Equity","26,411,327.18","0.14","26,411,327.18","149,843.00","176.26","United States","NASDAQ","USD","1.00","USD","-"
"OKTA","OKTA INC CLASS A","Information Technology","Equity","25,641,508.00","0.13","25,641,508.00","266,960.00","96.05","United States","NASDAQ","USD","1.00","USD","-"
"ZM","ZOOM VIDEO COMMUNICATIONS INC CLAS","Information Technology","Equity","25,582,211.44","0.13","25,582,211.44","430,532.00","59.42","United States","NASDAQ","USD","1.00","USD","-"
"SSNC","SS AND C TECHNOLOGIES HOLDINGS INC","Industrials","Equity","25,135,577.04","0.13","25,135,577.04","371,224.00","67.71","United States","NASDAQ","USD","1.00","USD","-"
"AKAM","AKAMAI TECHNOLOGIES INC","Information Technology","Equity","24,980,499.06","0.13","24,980,499.06","260,051.00","96.06","United States","NASDAQ","USD","1.00","USD","-"
"GEN","GEN DIGITAL INC","Information Technology","Equity","24,585,319.44","0.13","24,585,319.44","972,136.00","25.29","United States","NASDAQ","USD","1.00","USD","-"
"MANH","MANHATTAN ASSOCIATES INC","Information Technology","Equity","23,905,828.00","0.12","23,905,828.00","105,778.00","226.00","United States","NASDAQ","USD","1.00","USD","-"
"JBL","JABIL INC","Information Technology","Equity","22,932,034.80","0.12","22,932,034.80","204,440.00","112.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NTNX","NUTANIX INC CLASS A","Information Technology","Equity","21,047,900.64","0.11","21,047,900.64","419,448.00","50.18","United States","NASDAQ","USD","1.00","USD","-"
"QRVO","QORVO INC","Information Technology","Equity","20,820,292.64","0.11","20,820,292.64","166,376.00","125.14","United States","NASDAQ","USD","1.00","USD","-"
"TOST","TOAST INC CLASS A","Financials","Equity","20,716,587.84","0.11","20,716,587.84","766,146.00","27.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GWRE","GUIDEWIRE SOFTWARE INC","Information Technology","Equity","20,625,399.87","0.11","20,625,399.87","141,357.00","145.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EPAM","EPAM SYSTEMS INC","Information Technology","Equity","19,897,252.77","0.10","19,897,252.77","95,969.00","207.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DT","DYNATRACE INC","Information Technology","Equity","19,819,292.71","0.10","19,819,292.71","449,519.00","44.09","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DOCU","DOCUSIGN INC","Information Technology","Equity","19,691,411.73","0.10","19,691,411.73","350,943.00","56.11","United States","NASDAQ","USD","1.00","USD","-"
"OLED","UNIVERSAL DISPLAY CORP","Information Technology","Equity","18,632,513.40","0.10","18,632,513.40","80,580.00","231.23","United States","NASDAQ","USD","1.00","USD","-"
"TWLO","TWILIO INC CLASS A","Information Technology","Equity","18,059,425.20","0.09","18,059,425.20","300,840.00","60.03","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ONTO","ONTO INNOVATION INC","Information Technology","Equity","17,923,771.62","0.09","17,923,771.62","84,582.00","211.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
